Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's native language	Languages spoken at home	Age of exposure to English	Years studying English	Stay abroad in English speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	ES_WR_B1_18_12_3_RGA	2019	36 / 60	60	B1 (lower intermediate)	Male	18	Universidad de Granada	estudios ingleses	1	Spanish	Spanish	Spanish	Spanish	6	12	No	""	""	0	B2	C1 (lower advanced)	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	4.5 / 6	French	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	Written	3	3. Film	written_online	5	Outside classroom	""	The last film I've seen it's It 2, I went to the cinema with some friends and surprisingly we were alone, while we were watching the film one of my friends started to make silly things such as making noises, sending whatsapp and disturbing us, but without harming us. When the film finished we went each one to our house because it was late. The film was the sequel of the previous one in which the same group of boys, now they were adults, went to his village because the clown who they thought that was dead wasn't and he started to kill people another time, so they have to stop it and save the village	
Learners	ES_SP_B1_21_9_3_KLB	2019	37 / 60	61.7	B1 (lower intermediate)	Female	21	Universidad de Granada	Medicina	4	Spanish	Spanish	Spanish	Spanish	6	9	No	""	""	0	C1	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	5 / 6	""	""	""	""	""	Spoken	3	3. Film	spoken_offline_lab	3	Outside classroom	""	uh so my task is that I have to talk about a movie and I chose hhh uh scary movie two hhh this movie is basically uh about the story of five friends hhh who uh hhh / hhh / scary movie is a movie about five friends hhh uh who suffered uh from xxx experiments hhh when uh they had a crash accident hhh / and they had to hide a body hhh under the xxx although that one involved was lived / hhh uh because of that experience that the director fo the highschool decides that is a good idea hhh of take all of them and / by lying them / hhh uh hhh make them be part hhh of a / hhh / of an experiment hhh in a haunted house hhh uh / inside the house there's a maid hhh who's evil and is quite mad hhh there is a scientist hhh who goes in a wheelchair and everybody loves at him hhh and also the director of the highschool uh stays in there hhh so meanwhile uh the five friends start suffering hhh a lot of uh funny but hhh strange situations hhh that make reference to some movies or uh some famous scenes of the hhh film industry / hhh I think is a funny comedy and / I really liked it	
Learners	ES_WR_B1_21_0_3_AGR	2019	37 / 60	61.7	B1 (lower intermediate)	Female	21	Universidad de Granada	Literaturas Comparadas	""	Spanish	Spanish	Spanish	Spanish	13	0	No	""	""	0	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.5 / 6	""	""	""	""	""	Written	3	3. Film	written_online	20	Inside classroom	""	A film I’ve watched recently is ‘Love, Rosie’.  It’s also one of my favourite films. This film is about a girl (Rosie) and a boy (Alex) who have been best friends since they were kids, but one day at Rosie’s birthday party, they get drunk and kiss. Right after the kiss she falls from the chair she was sitting and passes out. The next day his friend comes visit her and tries to mention what had happened the night before, but all she sais is that she wants to forget about everything. He gets a bit sad and doesn’t mention it, but what he doesn’t know, is that Rosie doesn’t remember about that kiss, and what she wanted to forget was that she got that drunk. Days come by and he meets a girl, she meets someone too and one night she has a sexual accident and get pregnant. Alex and Rosie had been planning to move to the United States for some months, but when she finds out she’s pregnant she hides it from Alex and thinks about excuses to not go to America. He moves first and thinks she’s going to move in some weeks, but she never does. She has a baby and starts raising her and he starts going out with someone and one day Alex comes visit because he’s found out about the baby. She explains everything and spend some time together. He goes back to New York and keep visiting each other for years, but one day Alex mentions the kiss and finds out she never remembered about it. They’ve always liked each other but they’ve never done something about it... Some time later she gets back with the parent of her daughter, and Alex tries to let her know he likes her by sending her a letter, but she never gets the letter. Some time later she gets single again and after that she goes after Alex, but she finds out he’s about to get married. She goes to the wedding and leaves afterwards. A year later or so, Alex surprises her at her new hotel and tells her he’s got divorced because he loves her... she tells him she loves him too and live happily ever after!	
Learners	ES_WR_B1_21_9_3_KLB	2019	37 / 60	61.7	B1 (lower intermediate)	Female	21	Universidad de Granada	Medicina	4	Spanish	Spanish	Spanish	Spanish	6	9	No	""	""	0	C1	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	5 / 6	""	""	""	""	""	Written	3	3. Film	written_online	3	Outside classroom	""	Scary movie 2.  <br/> It is a comedy movie about five friends who suffered a traumatic episode and its hilarious consequences. Their main characters are Nancy, Buddy, John, Craigh and Brenda. They have to stay in a haunted house with their professor and a creepy assistant that hides a deep dark secret. Also, the movie have funny moments, scary scenes and sexy event between the teenagers. Slowly, each character dies under terrible conditions until Nancy is the only one alive. She has to find out who was the serial killer and find the way to stop it.	
Learners	ES_SP_B1_22_11_3_MML	2019	37 / 60	61.7	B1 (lower intermediate)	Female	22	Universidad de Granada	Antropología Social y Cultural	Cuarto Curso	Spanish	Spanish	Spanish	Spanish	11	11	No	""	""	0	""	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	3.25 / 6	French	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	A1 (lower beginner)	Spoken	3	3. Film	spoken_offline_lab	4	Inside classroom	Background readings about the task topic (newspapers, internet, TV, etc.)	well I'm going to / spoke about / to speak about uh one world series hhh uh I write about that in my test hhh uh is american series / from / uh / uh sorry hhh is american series / uh actual series that is based hhh about the life of hhh uh / of paramedic / uh firefighters hhh and they show us hhh how how is / that life hhh how they / hhh receive the calls and they do their job / hhh and / is cool / because because you can see hhh how all the people work / and how stress is that life hhh I mean hhh they also show the life of policies hhh american policers so hhh uh you can / you you can be able to watch hhh all the perspective hhh from one call / I mean hhh you call nine nine one nine one one and hhh and you say that you have an emergency hhh and then hhh the series the series show you hhh uh / hhh all the perspective / and is cool because hhh is made for Ryan Murphy the same / the same producer than American xxx stories hhh and a few mores hhh and / I mean he's / he's so famous in / their ambit hhh and I don't know that's it hhh	
Learners	ES_WR_B1_22_11_3_MML	2019	37 / 60	61.7	B1 (lower intermediate)	Female	22	Universidad de Granada	Antropología Social y Cultural	Cuarto Curso	Spanish	Spanish	Spanish	Spanish	11	11	No	""	""	0	""	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	3.25 / 6	French	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	4	Inside classroom	Background readings about the task topic (newspapers, internet, TV, etc.)	I actually don't used to watch movies. I always prefer to watch series or TV Shows. So, I will talk about 9-1-1 show. I hope that it doesn't matter. 9-1-1 is an american Fox serie produced for Ryan Murphy and Brad Falchuck. Yes! The same directors that the famous American Horror Story. His genre is drama with comedy and action. Perfect balanced. I really really recommend it. All the episodies start with one call of urgency and follow the lives of the first responders: police officers, paramedics, firefighters and dispatchers.	
Learners	ES_WR_B1_18_15_3_ALC	2019	38 / 60	63.3	B1 (lower intermediate)	Female	18	""	""	""	Spanish	Spanish	Spanish	Spanish	3	15	No	""	""	0	Trinity Collegue Certificate (B2)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	""	""	""	""	""	Written	3	3. Film	written_online	20	Outside classroom	Monolingual dictionary	Remember me is a romantic film about the power of love, the strength of the family and the importance of live passionately and know how to appreciate each moment of life. <br/> In this romantic drama Tyler, a rude boy of New York who has a special and strained relationship with his father since a tragedy that had happened in their family and also the bad relationship between his father and his children. <br/> Tyler didn't believe that nobody could really understand what he is dealing with until the day he met Ally. He doesn't care about love but as time passes he started falling in love. <br/> Through love, he found the way to be happy and his life started to have sense. Also, his little sister is suffering bullying by her schoolmates.  <br/> There were fights and argues between Tyler and Ally, and dark secrets threatened their relationship. Otherwise Tyler and his father were trying to improve the father-son link. <br/> Ally and Tyler solved their problems and she convinced him to go to his father's job and talk with him. That September 11 of 2001Tyler went to the Twin Towers where his father office is. Waiting for him, an airplane impacted the towers and Tyler died.	
Learners	ES_WR_B1_20_14_3_AMRS	2019	38 / 60	63.3	B1 (lower intermediate)	Female	20	Universidad de Granada	Estudios Ingleses	4	Spanish	Spanish	Spanish	Spanish	6	14	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	German	A1 (lower beginner)	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	3	3. Film	written_online	20	Inside classroom	Bilingual dictionary (Spanish/English)	The film that I am going to describe is named “Coco”. It is about a guy called Miguel who dreams of being a famous singer like his role model, Ernesto. However, music is not allowed at home because his great-great-grandfather abandoned his great-great-grandmother and their daughter who is still alive and her name is Coco. Day of the Dead arrives and the family decorate their home with ancestors’ photos and offerings. Miguel realises that a photo in which Coco, her mother and her father appear, the figure that corresponds to the father lacks the head. He also sees that the man has the same guitar as his idol Ernesto. In spite of the forbidding of his family about music, Miguel decides to go to a musical competition, but his grandmother breaks his guitar. Miguel steals the Ernesto’s guitar for participating in the competition, however, playing the guitar, Miguel is transferring to the dead world with his friend Dante, a dog. For leaving this word, he has to have the blessing of one of his ancestors and he decides that his idol Ernesto would do this for him. He lives many adventures in the dead world with his dog and in the road, Dante guides him to Héctor, a man who has never been remembered and who will disappear if nobody in the alive world gives offering to him. Héctor knows Ernesto and helps Miguel to meet with him and in that way, to leave this world. As a change, Miguel has to put a photo at home and he won’t disappear. When Ernesto is going to bless Miguel, Héctor reclaims him the promise. In that situation, Ernesto recognises that Héctor was the writer of his songs and he also assumes that he killed Héctor for stealing the songs that he had written. Ernesto takes away the photo of Héctor and in that way, Miguel cannot put it at home and he won’t be remembered. Miguel and Héctor are in a deep water well and Héctor starts to sing a famous song called “Remember me”. Miguel realises that his great-great-grandfather is Héctor. Thanks Imelda, the wife of Héctor, Miguel returns to the world and tries that Héctor’s daughter, Coco, remembering him and he would not disappear. The problem is that Coco is losing her memory, and as a final attempt, he sings the song “Remember me” and Coco starts to remember her father. So Héctor won’t disappear and also Coco recovers the awareness of her familiar surroundings.	
Learners	ES_WR_B1_20_14_3_JRRM	2019	38 / 60	63.3	B1 (lower intermediate)	Male	20	Universidad de Granada	Estudios Ingleses	2º	Spanish	Spanish	Spanish	Spanish	6	14	No	""	""	0	C1	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	2 / 6	Japanese	A2 (upper beginner)	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	3	3. Film	written_online	15	Inside classroom	""	Joker takes place in Gotham City in the early 80s. Arthur Fleck is a clown who want to be a comedian, and he has a mental illness that causes him to laugh uncontrollably in stressful situations - and also he has depression and hysterical paranoids. He kills two men in a crisis, and he become the hero of Gotham because the citizens are upset with the rich people. These extreme situations will lead him to become the Joker.	
Learners	ES_WR_B1_20_14_3_PTP	2019	38 / 60	63.3	B1 (lower intermediate)	Female	20	Universidad de Granada	Grado en Traducción e Interpretación	Tercero	Spanish	Spanish	Spanish	Spanish	6	14	No	""	""	0	C1	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.5 / 6	French	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	Written	3	3. Film	written_online	5	Outside classroom	Bilingual dictionary (Spanish/English)	The last film I was was called 'Seventeen' and it tells the story of a young boy who was living in a juvie. He was so lonely most of the time until a SCPA lend some dogs to the juvie in order to teach them how to take care of someone. When a new family adopt the dog, he returned to be lonely so he decided to scape from the juvie in an essay of found the dog. Her brother finds out that he has scape so goes with him to find the dog. In the end they don't find him but they learn how to deal with adult problems.	
Learners	ES_WR_B1_28_15_3_EPM	2019	38 / 60	63.3	B1 (lower intermediate)	Female	28	Oposiciones	Veterinaria	""	Spanish	Spanish	Spanish	Spanish	8	15	Yes	United Kingdom	2014-2015	7	PET (B1)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.5 / 6	""	""	""	""	""	Written	3	3. Film	written_online	10	Outside classroom	Bilingual dictionary (Spanish/English)	Nocturnal Animals is a drama and psychological thriller film about the life of a affluent woman who is not satisfied at all. Despite she's married and they're a rich and succeed couple, she is not happy with her situation and starts to think in ver ex-husband. Curiously, he sends her a brand new self-novel (he was a not very well-known writter) and wants she gives him her opinion. The novel was a methaphore of their marriage: she cheated and abandoned him in an awful way. At the same time, he chats her and let her believe that he wants to see her. Finally, they date in a restaurant, but he never came up. That was the way he chose yo take revenge about the damage she made in the past.	
Learners	ES_WR_B1_18_12_3_AFM	2019	39 / 60	65	B1 (lower intermediate)	Male	18	Universidad de Granada	Filología Inglesa	1º	Spanish	Spanish	Spanish	Spanish	8	12	No	England	2012	0	""	B1 (lower intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.25 / 6	Greek	B1 (lower intermediate)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	30	Outside classroom	Bilingual dictionary (Spanish/English)	"Veronica. <br/> It's a movie based on a real live event and the only time that a police man have ever wrote on an official report that something supernatural happened. <br/> At the start of the movie we can see Veronica and her family that lives with a simple life. On a eclipse Veronica and her friends decides to do an Ouija to contact with the father of Veronica, when they are doing this, things starts to go wrong and the glass their using explode while Veronica faints. <br/> When Veronica wake up she go home with her brothers. When she arrives paranormal things starts to happen such as the school backpack where she carried the ouija started moving. This paranormal activity rise at night when she see her own dead father talking to her and attacking she. <br/> This events come back the next night where her brothers gets attacked by this monster that took the form of her father. After this Veronica try to fix her mistake and talks to a nun that try to help Veronica but she can't fix anything. In the third night after the ouija Veronica try to close the ""door"" to the monster but she can't do anything and realice that she is the monster and in order to safe her family she have to kill herself."	
Learners	ES_WR_B1_19_14_3_ALC	2019	39 / 60	65	B1 (lower intermediate)	Female	19	""	""	""	Spanish	Spanish	Spanish	Spanish	6	14	No	""	""	0	""	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.25 / 6	""	""	""	""	""	Written	3	3. Film	written_online	5	Outside classroom	""	"The most recently film I have seen is ""The 13 Roses"". It is a Spanish film based on the Spanish Civil War. It is about 13 young republican girls that made revolutionary things agains the fascist. All of them, except one, were jailed and later on executed. What is remarkable about this film si that it is based on real facts and the girls of the film are based on real girls that did the things that are showed on it."	
Learners	ES_WR_B1_21_13_3_AJB	2019	39 / 60	65	B1 (lower intermediate)	Male	21	Universidad de Granada	Estudios Ingleses	4º curso	Spanish	Spanish	Spanish	Spanish	8	13	Yes	United Kingdom	2018-2019	10	B2	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	B2 (upper intermediate)	4.25 / 6	""	""	""	""	""	Written	3	3. Film	written_online	720	Inside classroom	""	Recently, I have watched the film 'Doctor Sleep' which is based on a book written by Stephen King a few years ago. The film is the sequel of 'The Shinning', so I was really interested in watching it. The film present us was happens after the family Torrance escape from the Overlook Hotel, when Danny grow up and he is finally a man. How he tries to overcome the events after his father dies and how he attempts to control his power, which he calls 'the shinning'. Danny discovers that he is not the only one who has 'the shinning' and he is in contact with a girl who is trying to control her superpowers. That girl is so powerful that some people with the same power want to kidnap her in order to 'feed' themselves with her power. That is the reason why Danny helps her and they both, Danny and the girl, make a plan to fight the enemies.	
Learners	ES_WR_B1_21_13_3_RMCE	2019	39 / 60	65	B1 (lower intermediate)	Female	21	Universidad de Granada	Estudios Ingleses	4º	Spanish	Spanish	Spanish	Spanish	8	13	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	Italian	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	Written	3	3. Film	written_online	5	Outside classroom	Bilingual dictionary (Spanish/English)	The last film that I watched was the newest version of the Joker. We can see a man who lives with his ancient and sick mother. This man is called Arthur and he is ignored by the society. He has a curious work, he works as a rent clown because he has a medical disorder that makes him laugh in inappropriate situations. Throughout the film, there exist multiple and unfairly situations in which Arthut acts in a violent way.	
Learners	ES_SP_B2_21_10_3_FER	2019	40 / 60	66.7	B2 (upper intermediate)	Male	21	Universidad de Granada	Filología Inglesa	4° Curso	Spanish	Spanish	Spanish	Spanish	11	10	Yes	Ireland	2018-2019	9	First Certificate (B2)	B2 (upper intermediate)	B2 (upper intermediate)	C2 (upper advanced)	B2 (upper intermediate)	4.5 / 6	French	A2 (upper beginner)	A1 (lower beginner)	B2 (upper intermediate)	A2 (upper beginner)	Spoken	3	3. Film	spoken_offline_lab	12	Outside classroom	""	the film I'm going to talk about / was about a huge family / hhh uh that was form by six children / and their parents / hhh so the film starts / with the twenty-five years anniversary / of the marriage of / the parents / hhh uh the father / uh / told uh her wife / that / in the very last minute / he / wouldn't be able to go on the trip / with her / hhh which was the present of the anniversary / hhh / so / uh / the mother uh got upset / and she needed to find another person / which was / a friend of her / hhh and then / they both went on the trip / hhh the father told her wife / that / she really needs to relax she really need it to hhh go on that trip because she was really hhh really busy / with the family affairs and so on hhh / and that he was going to be in charge of the family / that week / hhh then the mother just took the plane / and went on the trip with her friend hhh and the father / uh was in charge of the family and also of her work / his work hhh / so uh the days were / passing hhh and the father realized that / being in charge of the family / six children hhh was really really uh / huge problem for him hhh because it / really took a lot a lot of time / to hhh to go to the school to go to the hhh extra scholar activities of the children hhh and so on hhh / hhh even more with work / hhh he was an an informatic hhh and he was in charge of a hhh / an important uh role in her in his enterprise hhh as days were passing / he realized that / he / he couldn't / he couldn't uh be in charge of the family / at all / hhh and also he couldn't do / what he wanted to do with his / job / hhh so he got fired / hhh / then hhh he just called her wife his wife hhh / and he told her / that he was / hhh uh everything was / hhh was all right everything was going perfect hhh just in order to not to / worry hhh / his / wife / hhh / in the o= on the other hand / the hhh the mother was hhh uh in part she was having fun but / as time was passing / hhh she also was / worried about hhh uh the father the children / she started to doubt / about if he was telling her the uh truth or hhh / he was lying or / or what= whatever / hhh so she also was like hhh worried / hhh then when / the day of the hhh arrival / came / hhh the mother arrived home hhh and somehow / she found / the house / how it was / hhh and / she was really really surprised / because she thought that / everything was gonna be hhh different hhh uh / somehow the father / uh managed to hhh to repair / every / everything that the chi= the children did / hhh because / hhh one day before the arrival of the mother hhh the children really hhh / uh hhh literally they set the the house on fire hhh but somehow / the father and the children all together managed to repair it / hhh and / hhh finally / uh the family / uh once again / could be happy / hhh and this time / since the father / got fired / fired in / his enterprise / hhh the mother / found it a job / and the father / was now / in charge of the family affairs	
Learners	ES_WR_B2_21_10_3_FER	2019	40 / 60	66.7	B2 (upper intermediate)	Male	21	Universidad de Granada	Filología Inglesa	4° Curso	Spanish	Spanish	Spanish	Spanish	11	10	Yes	Ireland	2018-2019	9	First Certificate (B2)	B2 (upper intermediate)	B2 (upper intermediate)	C2 (upper advanced)	B2 (upper intermediate)	4.5 / 6	French	A2 (upper beginner)	A1 (lower beginner)	B2 (upper intermediate)	A2 (upper beginner)	Written	3	3. Film	written_online	12	Outside classroom	""	It has been a while since the last time I watched a film, but the last one I remember was a spanish comedy film whose title I do not remember. <br/>  It was about a huge family, composed by a house woman and her husband and his six children. So far in the family, the person who was always in charge of taking care of the children and their affaires was the mother, whereas the family father was an informatic who was the one that brought home the bacon. <br/>  Later in the film, the woman told her husband to travel abroad together in lrder to celebrate their aniversary, but in the last moment her husband told her that he could not afford going with her because of his work. This really made her upset and she went on travel with her friend, telling her husband that he should be now in charge of the children (he did not complain about that). <br/>  The thing is that once she was already abroad and the family father was in charge of the family alone, he realised that it wasn't as easy as he imagined. He had quite a lot of problems trying to compaginate his work with his children affaires, and although he tried his best to do it, he finally had to quit from his work to take care of them in the right way. <br/>  When his wife came back from the trip they had changed their roles inside the family, since from that moment the father was ghe one in charge of the children and the mother was focused on her new work and bringing money to home.	
Learners	ES_WR_B2_22_16_3_BRV	2017	40 / 60	66.7	B2 (upper intermediate)	Female	22	Universidad de Granada	Estudios Ingleses	""	Spanish	Spanish	Spanish	Spanish	6	16	No	""	""	0	B2	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	""	""	""	""	""	Written	3	3. Film	written_online	10	Outside classroom	Bilingual dictionary (Spanish/English)	"Recently, I have watched ""Every Morning of the world"" which is a French movie in which music is the main topic. In particular, it is a real story about Saint Colombe who was an important composer of baroque music.  <br/>  <br/>          The story is narrated by Marin Marais throughout the film. He was a composer and he's telling about his master (Saint Colombe) to his audience who are the musicians to whom he's directing."	
Learners	ES_WR_B2_20_12_3_NLLB	2019	41 / 60	68.3	B2 (upper intermediate)	Female	20	Universidad de Granada	Estudios ingleses	3	Spanish	Spanish	Spanish	Spanish	8	12	No	""	""	0	First certificate b2	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.75 / 6	French	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	Written	3	3. Film	written_online	5	Outside classroom	""	"The last film I have seen is ""Hachiko"". Actually i wasn't  interested un that types of films, but my boyfriend decided to play it. The film is the story of a dog, and a od man that found him in the train when he is about to go to work. He takes care of it while his wife is looking for a new family for the dog. When she realize how devoted is his husband with the dog, she decides to keep it. The dog has a really close relation with the old man, and he even learn by itself the way from home to train station, un order to go among with his partner all the morning, and then, at midday go again ti the train station to pick up him.  <br/> But one day, the old man doesn't come back. He suffers a heart attack, and he dies. The dog wait for him, and instead of the family try to bring him home, he comes back to wait for him.  <br/> The most suprising of that this story is real, and nowdays there is a monument of that dog in the train station."	
Learners	ES_SP_B2_21_15_3_AJPM	2019	41 / 60	68.3	B2 (upper intermediate)	Male	21	Universidad de Granada	Estudios Ingleses	Segundo año de carrera	Spanish	Spanish	Spanish	Spanish	6	15	No	""	""	0	B1	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	2 / 6	Japanese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Spoken	3	3. Film	spoken_offline_lab	6	Outside classroom	Grammar book	hhh uh the movie it was uh transformers / the animate movie from hhh the / eighty-four / hhh I think hhh and / it the / it had / a bigger / hhh budget than the series / because it's something that hhh happen all the time / with uh series that are / are made in order to sell toys / hhh I don't know uh hhh there are lot of series hhh uh that are made with this scan / like xxx or / hhh xxx they are made hhh in order to sell the toys hhh / hhh / so when they get a movie / it is usually with a bigger budget hhh the animation was really fluid / hhh and I really like it / hhh / hhh hhh / hhh uh the movie started with a war hhh between / two sides hhh of cybertronics that uh xxx and xxx hhh and after / three no no uh two two seasons of the series hhh there is a big war where almost all the characters died / hhh uh then / hhh a planet hhh a sin= a planet of the xxx called xxx / uh resurrect hhh every corps hhh as a new / hhh as a new robot hhh and with that army of of / hhh of zombies / hhh not xxx of zombies but yeah hhh they are corps and now they are alive again / hhh he tries to hhh eat another planet hhh and that uh leads to the death xxx the hhh the political leader of Autobots / and xxx / uh and with the death of Optimus Prime the uh hhh that he was the leader of Autobots hhh there is a an hhh / there should be a new leader hhh and it will be cho= chosen by the xxx that is a hhh the origin of the universe / it was like uh the heart of God hhh hhh that now they they own actually hhh the movie is really uh hhh who will be the next the next leader of the Autobots hhh who will be chosen by that her of god xxx / hhh uh hhh the movie uh hhh get a lot of hhh of problems in order to hhh uh / hhh get the narrative to the point that hhh there is uh / the final plot hhh / and the protagonist are are really hhh are really / uh colourful / roster hhh well / the one that that still alive because everyone died hhh in the start that it's okay hhh a feel of cool characters / hhh and / hhh in the middle / after the initial war hhh there is a planet where do uh hhh where the people uh go to the adj= adjudgment hhh and if you are hhh if you are guilty or not guilty hhh either way you will be executed hhh you will be thrown into a pool full of charges and they will uh hhh xxx until you are dead hhh but the protagonist uh hhh protagonist finally fully xxx for there hhh and hhh and they found a hhh a a group of robots that they are like they are like mathemaths mathemaths like the film of Mel Gibson / hhh pirates / but pirates of the dessert hhh in apocalyptic future hhh they were with xxx  / so yeah when I s= when I uh saw the these characters hhh I thought xxx this is just like uh xxx but they are robots hhh and after getting getting along with / the pirates of the dessert hhh they uh / they come into the final fight hhh there uh the protagonist that is called xxx hhh open the heart of God hhh and turn into ho= xxx hhh because uh xxx o xxx hhh is the suffix that / the names we= xxx hhh when you are something uh chosen by hhh by destiny / hhh and in the end / once the the leadership is xxx / uh he he / he's able to kill hhh the leader of the of the corps that is called hhh xxx and / hhh uh the army that is with him hhh uh finally killed the planet / hhh the planet / called xxx that the that was hhh eating another planet	
Learners	ES_WR_B2_21_13_3_MGP	2017	41 / 60	68.3	B2 (upper intermediate)	Male	21	Universidade da Coruña	Simultaneidade: Grao en Español e Inglés: Estudos lingüísticos e literarios	4º	Spanish	Spanish	Spanish	Spanish	8	13	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.5 / 6	Italian	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	7	Outside classroom	Bilingual dictionary (Spanish/English)	"The film is ""The Dead"". It is based on Joyce's short story and talks about a party in which Gabriel and Gretta take part. Because of a poetry reading, Gretta remembers a love relationship she had in her teens with a young man who died. As a contrast, Gretta's memories are finally more powerful than happiness we contemplate in that party. Gabriel will be the main witness of his wife's retrospection by reflecting on tempus fugit, death and destiny."	
Learners	ES_WR_B2_21_15_3_AJPM	2019	41 / 60	68.3	B2 (upper intermediate)	Male	21	Universidad de Granada	Estudios Ingleses	Segundo año de carrera	Spanish	Spanish	Spanish	Spanish	6	15	No	""	""	0	B1	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	2 / 6	Japanese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	6	Outside classroom	Grammar book	The film was made in 1984 and it was animated. As a long list of TV shows with a low budget the film improves every single (money reflected) point, including a huge quantity of new songs made just for it. <br/> After a long war the heroes finally kill the villains, but an entity planet-shaped use the corpse in order to have a bunch of soldiers. Therefore there is a second fight, but the protagonist is dead and the plot goes arround the fact that with such a problem there should be another protagonist. <br/> Along the film each of an extense rooster of colorful characters keep fighting, and in the end one robot earns the title of new protagonist. Then the planet-shaped villain is defeated and -with a lot of protagonist who are dead- the peace finally comes.	
Learners	ES_WR_B2_21_16_3_CFL	2019	41 / 60	68.3	B2 (upper intermediate)	Female	21	Universidad de Granada	Estudios Ingleses	Cuarto	Spanish	Spanish	Spanish	Spanish	5	16	No	""	""	0	First Certificate B2	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.5 / 6	German	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	A2 (upper beginner)	Written	3	3. Film	written_online	9	Inside classroom	Bilingual dictionary (Spanish/English)	"Recenty, I went to the cinema in order to see a new film called ""Once Upon a Time in Hollywood"" directed by Quentin Tarantino. This film was outstanding and based on real events about the family Manson, it tells the story of two soulmates, and more concretely, a famous television actor called Rick Dalton accompanied by his double, Cliff Booth. During the whole movie, the latter one will be helping and assisting Rick, since he works for him and he is the sucessful man working in the film industry. Cliff, on the other hand, it is just somebody who lost his job and now, together with Rick, they are very closed friends and at the same time Cliff is working for Rick. The things will become harder when Cliff goes where the family Manson lives and his presence is not very welcomed. They are known for being violent and dangerous, and finally, there will be a violent confrontation between the family Manson and the two men that will not end precisely in a peaceful manner."	
